Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0010372,0.0096001,-0.0015049,0,0,0,0.94081,0.023357,-0.00021136,2.0329E-18,0.026263,-8.1315E-19,0.0046818,0,0,0,0,0,0,package://manip/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manip/meshes/base_link.STL,,link1 (2)-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,-0.0011011,0.005382,-0.18905,0,0,0,0.15671,0.0023831,-4.1189E-08,1.4468E-06,0.0027923,6.6915E-05,0.00044373,0,0,0,0,0,0,package://manip/meshes/Empty_Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manip/meshes/Empty_Link1.STL,,link2-1,Origin_j1,Axis_j1,j1,revolute,0.08659,0,0.083,-2.834,0,-1.5708,base_link,1,0,0,50,100,-1.5708,1.5708,,,,,,,,
Empty_Link2,0.0014025,0.00075079,-0.10483,0,0,0,0.043622,0.00016972,-3.5786E-08,-3.6216E-06,0.00022928,-5.1923E-07,6.5402E-05,0,0,0,0,0,0,package://manip/meshes/Empty_Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manip/meshes/Empty_Link2.STL,,link3-1,Origin_j2,Axis_j2,j2,revolute,0,0.010603,-0.37242,0.97478,0,0,Empty_Link1,1,0,0,50,100,-1.5708,1.5708,,,,,,,,
Empty_Link3,0,0.071233,0.0062757,0,0,0,0.042618,8.3331E-05,4.0658E-20,6.7763E-21,4.5654E-05,-1.596E-06,4.2457E-05,0,0,0,0,0,0,package://manip/meshes/Empty_Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://manip/meshes/Empty_Link3.STL,,link4-1,Origin_j3,Axis_j3,j3,revolute,0,0,-0.18082,-1.5708,0.81994,-1.5708,Empty_Link2,0,0,1,50,100,-1.5708,1.5708,,,,,,,,
